sz000001	20081031	3.0000	0.0000	0.0000	0.3350
sz000001	20070620	1.0000	0.0000	0.0000	0.0900
sz000001	20030929	0.0000	0.0000	0.0000	1.5000
sz000001	20020723	0.0000	0.0000	0.0000	1.5000
sz000001	20001106	0.0000	3.0000	8.0000	0.0000
sz000001	19991018	0.0000	0.0000	0.0000	6.0000
sz000001	19970825	5.0000	0.0000	0.0000	2.0000
sz000001	19960527	10.0000	0.0000	0.0000	0.0000
sz000001	19950925	2.0000	0.0000	0.0000	3.0000
sz000001	19940711	5.0000	1.0000	5.0000	5.0000
sz000001	19940709	0.0000	1.0000	5.0000	0.0000
sz000001	19930524	8.5000	1.0000	16.0000	3.0000
sz000001	19920323	5.0000	0.0000	0.0000	2.0000
sz000001	19910819	3.0000	0.0000	0.0000	2.0000
sz000001	19910403	4.0000	0.0000	0.0000	3.0000
sz000002	20120705	0.0000	0.0000	0.0000	1.3000
sz000002	20110527	0.0000	0.0000	0.0000	1.0000
sz000002	20100518	0.0000	0.0000	0.0000	0.7000
sz000002	20090608	0.0000	0.0000	0.0000	0.5000
sz000002	20080616	6.0000	0.0000	0.0000	1.0000
sz000002	20070516	5.0000	0.0000	0.0000	1.5000
sz000002	20060721	0.0000	0.0000	0.0000	1.5000
sz000002	20050629	5.0000	0.0000	0.0000	1.5000
sz000002	20040526	5.0000	0.0000	0.0000	0.5000
sz000002	20030523	10.0000	0.0000	0.0000	2.0000
sz000002	20020717	0.0000	0.0000	0.0000	2.0000
sz000002	20010821	0.0000	0.0000	0.0000	1.8000
sz000002	20000817	0.0000	0.0000	0.0000	1.5000
sz000002	20000110	0.0000	2.7270	7.5000	0.0000
sz000002	19990806	1.0000	0.0000	0.0000	1.0000
sz000002	19980710	1.0000	0.0000	0.0000	1.5000
sz000002	19970714	0.0000	2.3700	4.5000	0.0000
sz000002	19970627	1.5000	0.0000	0.0000	1.0000
sz000002	19960806	1.0000	0.0000	0.0000	1.4000
sz000002	19950704	1.5000	0.0000	0.0000	1.5000
sz000002	19940621	3.5000	0.0000	0.0000	1.5000
sz000002	19930405	5.0000	0.0000	0.0000	0.6000
sz000002	19920330	2.0000	0.0000	0.0000	0.0000
sz000002	19920320	2.0000	0.0000	0.0000	0.0000
sz000002	19910610	2.0000	5.0000	4.4000	0.0000
sz000004	20070528	0.4000	0.0000	0.0000	0.0000
sz000004	20060818	2.5000	0.0000	0.0000	0.0000
sz000004	20030619	0.0000	0.0000	0.0000	0.3000
sz000004	20020624	0.0000	0.0000	0.0000	0.5000
sz000004	19950830	1.0000	0.0000	0.0000	0.6000
sz000004	19940517	5.0000	0.0000	0.0000	1.0000
sz000004	19930524	3.0000	4.0000	10.0000	0.8000
sz000004	19920427	2.0000	0.0000	0.0000	0.0000
sz000004	19910628	2.0000	0.0000	0.0000	0.0000
sz000005	20060731	6.5000	0.0000	0.0000	0.0000
sz000005	20010716	0.8740	0.0000	0.0000	0.1140
sz000005	20001221	0.0000	2.7270	4.9500	0.0000
sz000005	20000831	1.0000	0.0000	0.0000	0.2500
sz000005	19980821	5.0000	0.0000	0.0000	0.0000
sz000005	19970825	3.0000	0.0000	0.0000	0.0000
sz000005	19960813	1.5000	0.0000	0.0000	0.0000
sz000005	19950726	1.0000	0.0000	0.0000	0.0000
sz000005	19941104	0.0000	10.0000	3.0000	0.0000
sz000005	19940923	3.3330	10.0000	3.0000	0.0000
sz000006	20120711	3.0000	0.0000	0.0000	0.4000
sz000006	20110614	3.0000	0.0000	0.0000	0.6000
sz000006	20100513	5.0000	0.0000	0.0000	1.2000
sz000006	20090626	0.0000	0.0000	0.0000	0.8000
sz000006	20080429	10.0000	0.0000	0.0000	1.0000
sz000006	20070529	0.0000	0.0000	0.0000	3.5000
sz000006	20060628	0.0000	0.0000	0.0000	1.8000
sz000006	20060112	2.0000	0.0000	0.0000	0.0000
sz000006	20050630	0.0000	0.0000	0.0000	0.7500
sz000006	20030724	0.0000	0.0000	0.0000	0.8000
sz000006	20020819	0.0000	0.0000	0.0000	1.3000
sz000006	20010829	0.0000	0.0000	0.0000	2.0000
sz000006	20000721	0.0000	0.0000	0.0000	1.0000
sz000006	19990721	0.0000	0.0000	0.0000	2.0000
sz000006	19980730	1.0000	0.0000	0.0000	2.0000
sz000006	19970709	3.0760	0.0000	0.0000	0.7690
sz000006	19970328	0.0000	3.0000	12.0000	0.0000
sz000006	19960729	0.0000	0.0000	0.0000	2.0000
sz000006	19950711	3.0000	0.0000	0.0000	1.0000
sz000006	19941227	0.0000	1.5000	5.6000	0.0000
sz000006	19940627	6.0000	0.0000	0.0000	2.0000
sz000006	19930607	3.0000	3.0000	12.8000	0.0000
sz000007	20060814	5.2000	0.0000	0.0000	0.0000
sz000007	19970703	9.5000	0.0000	0.0000	0.0000
sz000007	19960902	0.0000	0.0000	0.0000	0.3000
sz000007	19950802	0.0000	0.0000	0.0000	2.0000
sz000007	19940630	4.0000	3.0000	4.0000	1.0000
sz000007	19930531	2.0000	5.0000	9.0000	0.5000
sz000007	19921109	2.0000	0.0000	0.0000	0.5000
sz000008	20051213	2.0000	0.0000	0.0000	0.0000
sz000008	19960905	3.0000	0.0000	0.0000	0.0000
sz000008	19950830	1.0000	0.0000	0.0000	0.0000
sz000008	19940919	0.0000	1.5000	3.0000	0.0000
sz000008	19940616	3.0000	0.0000	0.0000	0.5000
sz000008	19930531	1.5000	3.0000	10.0000	0.5000
sz000009	20110803	0.0000	0.0000	0.0000	0.2000
sz000009	20100827	0.0000	0.0000	0.0000	0.3500
sz000009	20090806	0.5000	0.0000	0.0000	0.3000
sz000009	20080516	2.8720	0.0000	0.0000	0.0000
sz000009	19970807	0.0000	0.0000	0.0000	0.2000
sz000009	19960807	0.5000	0.0000	0.0000	0.3000
sz000009	19960424	0.0000	2.4000	2.5500	0.0000
sz000009	19950721	2.5000	0.0000	0.0000	1.0000
sz000009	19940616	7.0000	0.0000	0.0000	1.2200
sz000009	19930412	3.0000	0.0000	0.0000	0.9000
sz000010	19990531	10.0000	0.0000	0.0000	0.0000
sz000010	19971210	0.0000	3.0000	5.0000	0.0000
sz000010	19970725	0.0000	0.0000	0.0000	1.5000
sz000010	19960722	1.2000	0.0000	0.0000	0.8000
sz000011	20091123	1.0000	0.0000	0.0000	0.1120
sz000011	20091103	3.9000	0.0000	0.0000	0.0000
sz000011	19960820	1.0000	0.0000	0.0000	1.0000
sz000011	19950824	1.0000	0.0000	0.0000	1.5000
sz000011	19940506	3.0000	0.0000	0.0000	1.0000
sz000011	19930719	3.0000	1.0000	8.5000	0.8000
sz000011	19930716	3.0000	0.0000	0.0000	0.0800
sz000012	20120525	0.0000	0.0000	0.0000	1.8000
